2017/01/07 16:57:27:248  Binding data signals to new activity.
2017/01/07 16:57:27:342  Adding initial activity to realm.
2017/01/07 16:57:34:518  Adding new data point.
2017/01/07 16:57:35:518  Adding new data point.
2017/01/07 16:57:36:514  Adding new data point.
2017/01/07 16:57:37:513  Adding new data point.
2017/01/07 16:57:38:512  Adding new data point.
2017/01/07 16:57:39:488  Adding new data point.
2017/01/07 16:57:40:510  Adding new data point.
2017/01/07 16:57:41:457  Adding new data point.
2017/01/07 16:57:42:515  Adding new data point.
2017/01/07 16:57:43:512  Adding new data point.
2017/01/07 16:57:44:511  Adding new data point.
2017/01/07 16:57:45:508  Adding new data point.
2017/01/07 16:57:46:509  Adding new data point.
2017/01/07 16:57:47:516  Adding new data point.
2017/01/07 16:57:48:515  Adding new data point.

