2017/01/07 18:20:59:742  Adding initial activity to realm.
2017/01/07 18:21:00:220  Binding data signals to new activity.
2017/01/07 18:21:00:238  Recieved activity primary key.
2017/01/07 18:21:00:239  Setting up new dataset.
2017/01/07 18:21:00:245  Erasing dataset
2017/01/07 18:21:02:485  Adding new data point.
2017/01/07 18:21:02:517  Adding data with power 0
2017/01/07 18:21:02:518  Updating dataset.
2017/01/07 18:21:03:479  Adding new data point.
2017/01/07 18:21:03:487  Adding data with power 150
2017/01/07 18:21:03:489  Updating dataset.
2017/01/07 18:21:04:478  Adding new data point.
2017/01/07 18:21:04:502  Adding data with power 165
2017/01/07 18:21:04:504  Updating dataset.
2017/01/07 18:21:06:368  Adding new activity to realm.
2017/01/07 18:21:06:376  Recieved activity primary key.
2017/01/07 18:21:06:377  Setting up new dataset.
2017/01/07 18:21:06:378  Erasing dataset
2017/01/07 18:21:06:381  Binding data signals to new activity.
2017/01/07 18:21:06:408  Updating activity name from edit page.
2017/01/07 18:21:10:320  Adding new data point.
2017/01/07 18:21:11:327  Adding new data point.
2017/01/07 18:21:12:327  Adding new data point.

